time,angle,omega
0.914000,0.785,2.096
1.262119,1.570,2.412
1.569884,2.355,2.694
1.847984,3.140,2.943
2.105030,3.925,3.164
2.345284,4.710,3.352
2.573984,5.495,3.529
2.790783,6.280,3.714
2.997184,7.065,3.895
3.194284,7.850,4.063
3.383906,8.635,4.229
3.565884,9.420,4.392
3.741599,10.205,4.544
3.911584,10.990,4.672
4.077726,11.775,4.799
4.238912,12.560,4.941
4.395584,13.345,5.081
4.548020,14.130,5.207
4.697197,14.915,5.335
4.842406,15.700,5.468
4.984384,16.485,5.593
5.123184,17.270,5.691
5.260283,18.055,5.787
5.394525,18.840,5.903
5.526316,19.625,6.012
5.655724,20.410,6.109
5.783330,21.195,6.215
5.908384,21.980,6.334
6.031227,22.765,6.448
6.151898,23.550,6.534
6.271502,24.335,6.620
6.389088,25.120,6.725
6.504984,25.905,6.821
6.619293,26.690,6.898
6.732584,27.475,6.988
6.843984,28.260,7.092
6.953985,29.045,7.189
7.062386,29.830,7.262
7.170186,30.615,7.334
7.276487,31.400,7.430
7.381512,32.185,7.515
7.485402,32.970,7.582
7.588591,33.755,7.660
7.690388,34.540,7.758
7.790987,35.325,7.853
7.890328,36.110,7.916
7.989310,36.895,7.980
8.087090,37.680,8.073
8.183790,38.465,8.154
8.279633,39.250,8.210
8.375024,40.035,8.279
8.469290,40.820,8.371
8.562591,41.605,8.464
8.654794,42.390,8.522
8.746812,43.175,8.580
8.837792,43.960,8.669
8.927930,44.745,8.742
9.017394,45.530,8.792
9.106494,46.315,8.861
9.194594,47.100,8.951
9.281906,47.885,9.038
9.368309,48.670,9.092
9.454594,49.455,9.150
9.539912,50.240,9.235
9.624596,51.025,9.307
9.708614,51.810,9.354
9.792438,52.595,9.413
9.875407,53.380,9.501
