'time','angle','omega'
1.265983,0.785,1.145
1.890994,1.570,1.386
2.415818,2.355,1.618
2.871204,3.140,1.837
3.276484,3.925,2.035
3.645883,4.710,2.202
3.991118,5.495,2.337
4.318614,6.280,2.441
4.634604,7.065,2.544
4.936383,7.850,2.664
5.224483,8.635,2.791
5.499508,9.420,2.915
5.763588,10.205,3.037
6.016883,10.990,3.150
6.262211,11.775,3.246
6.500785,12.560,3.320
6.735117,13.345,3.396
6.963198,14.130,3.490
7.185184,14.915,3.587
7.401024,15.700,3.680
7.611885,16.485,3.778
7.816790,17.270,3.871
8.017586,18.055,3.947
8.214586,18.840,4.006
8.409487,19.625,4.069
8.600534,20.410,4.148
8.788087,21.195,4.228
8.971921,21.980,4.303
9.152986,22.765,4.383
9.330189,23.550,4.463
9.504789,24.335,4.531
9.676724,25.120,4.580
