time,angle,omega
0.963614,0.785,1.225
1.543584,1.570,1.486
2.034928,2.355,1.702
2.472387,3.140,1.908
2.862988,3.925,2.109
3.219708,4.710,2.298
3.548396,5.495,2.464
3.858084,6.280,2.614
4.149988,7.065,2.761
4.427384,7.850,2.897
4.692422,8.635,3.015
4.948401,9.420,3.135
5.193684,10.205,3.267
5.429384,10.990,3.396
5.656285,11.775,3.509
5.877013,12.560,3.619
6.090392,13.345,3.732
6.297821,14.130,3.834
6.499984,14.915,3.922
6.698194,15.700,4.013
6.891322,16.485,4.114
7.079884,17.270,4.218
7.263626,18.055,4.307
7.444486,18.840,4.393
7.621087,19.625,4.490
7.794186,20.410,4.577
7.964187,21.195,4.645
8.132188,21.980,4.723
8.296706,22.765,4.817
8.458189,23.550,4.910
8.616530,24.335,4.982
8.773313,25.120,5.055
8.927197,25.905,5.141
9.078734,26.690,5.217
9.228190,27.475,5.274
9.376421,28.260,5.339
9.522291,29.045,5.422
9.666036,29.830,5.504
9.807593,30.615,5.568
