'time','angle','omega'
0.957283,0.785,1.248
1.514083,1.570,1.542
1.988714,2.355,1.762
2.411083,3.140,1.966
2.791600,3.925,2.149
3.143883,4.710,2.317
3.470998,5.495,2.486
3.776890,6.280,2.653
4.063987,7.065,2.809
4.336486,7.850,2.949
4.596983,8.635,3.077
4.847083,9.420,3.205
5.087284,10.205,3.313
5.321083,10.990,3.417
5.546984,11.775,3.532
5.765783,12.560,3.648
5.977621,13.345,3.755
6.184084,14.130,3.858
6.384783,14.915,3.963
6.580383,15.700,4.067
6.770989,16.485,4.148
6.958883,17.270,4.227
7.142484,18.055,4.322
7.322226,18.840,4.414
7.498285,19.625,4.495
7.671518,20.410,4.582
7.841022,21.195,4.675
8.007386,21.980,4.766
8.170486,22.765,4.835
8.332087,23.550,4.902
8.490787,24.335,4.986
8.646989,25.120,5.065
8.800789,25.905,5.133
8.952886,26.690,5.210
9.102190,27.475,5.299
9.249190,28.260,5.383
9.393890,29.045,5.442
9.537691,29.830,5.501
9.679329,30.615,5.578
9.819196,31.400,5.648
