time,angle,omega
0.140884,0.785,12.470
0.203884,1.570,12.470
0.266784,2.355,12.460
0.329884,3.140,12.431
0.393084,3.925,12.451
0.455984,4.710,12.457
0.519118,5.495,12.460
0.581984,6.280,12.464
0.645084,7.065,12.429
0.708307,7.850,12.421
0.771484,8.635,12.413
0.834784,9.420,12.392
0.898184,10.205,12.401
0.961384,10.990,12.407
1.024725,11.775,12.421
1.087788,12.560,12.415
1.151182,13.345,12.378
1.214630,14.130,12.378
1.278022,14.915,12.367
1.341584,15.700,12.337
1.405284,16.485,12.353
1.468684,17.270,12.361
1.532293,18.055,12.370
1.595606,18.840,12.371
1.659200,19.625,12.326
1.722984,20.410,12.324
1.786591,21.195,12.322
1.850402,21.980,12.292
1.914314,22.765,12.306
1.977984,23.550,12.307
2.041884,24.335,12.320
2.105418,25.120,12.324
2.169284,25.905,12.279
2.233284,26.690,12.275
2.297184,27.475,12.272
2.361219,28.260,12.247
2.425384,29.045,12.259
2.489292,29.830,12.262
2.553426,30.615,12.267
2.617284,31.400,12.275
2.681326,32.185,12.237
2.745584,32.970,12.227
2.809730,33.755,12.218
2.874084,34.540,12.194
2.938484,35.325,12.215
3.002615,36.110,12.216
3.067007,36.895,12.221
3.131084,37.680,12.226
3.195422,38.465,12.180
3.259984,39.250,12.174
3.324384,40.035,12.177
3.388916,40.820,12.151
3.453594,41.605,12.161
3.518020,42.390,12.162
3.582684,43.175,12.174
3.646990,43.960,12.179
3.711596,44.745,12.134
3.776384,45.530,12.130
3.841024,46.315,12.124
3.905884,47.100,12.099
3.970784,47.885,12.114
4.035484,48.670,12.114
4.100384,49.455,12.130
4.164920,50.240,12.133
4.229784,51.025,12.088
4.294804,51.810,12.084
4.359713,52.595,12.079
4.424785,53.380,12.052
4.489985,54.165,12.066
4.554901,54.950,12.068
4.620084,55.735,12.079
4.684884,56.520,12.086
4.749984,57.305,12.040
4.815284,58.090,12.037
4.880418,58.875,12.031
4.945784,59.660,12.006
5.011189,60.445,12.021
5.076384,61.230,12.022
5.141788,62.015,12.031
5.206884,62.800,12.031
5.272284,63.585,11.994
5.337784,64.370,11.993
5.403196,65.155,11.984
5.468787,65.940,11.957
5.534496,66.725,11.967
5.599984,67.510,11.973
5.665622,68.295,11.985
5.730984,69.080,11.986
5.796612,69.865,11.945
5.862416,70.650,11.940
5.928101,71.435,11.933
5.993984,72.220,11.905
6.059984,73.005,11.921
6.125684,73.790,11.929
6.191600,74.575,11.937
6.257212,75.360,11.938
6.323119,76.145,11.896
6.389184,76.930,11.888
6.455184,77.715,11.885
6.521284,78.500,11.864
6.587520,79.285,11.874
6.653505,80.070,11.876
6.719722,80.855,11.885
6.785603,81.640,11.888
6.851786,82.425,11.849
6.918108,83.210,11.845
6.984330,83.995,11.838
7.050731,84.780,11.808
7.117288,85.565,11.825
7.183506,86.350,11.831
7.249994,87.135,11.833
7.316190,87.920,11.840
7.382594,88.705,11.804
7.449200,89.490,11.795
7.515697,90.275,11.787
7.582393,91.060,11.761
7.649194,91.845,11.777
7.715700,92.630,11.778
7.782494,93.415,11.787
7.848894,94.200,11.796
7.915594,94.985,11.752
7.982494,95.770,11.748
8.049234,96.555,11.743
8.116195,97.340,11.711
8.183296,98.125,11.725
8.250096,98.910,11.734
8.317097,99.695,11.743
8.383798,100.480,11.743
8.450798,101.265,11.707
8.517908,102.050,11.699
8.584999,102.835,11.691
8.652200,103.620,11.672
8.719514,104.405,11.682
8.786601,105.190,11.683
8.853902,105.975,11.690
8.920902,106.760,11.697
8.988123,107.545,11.656
9.055602,108.330,11.649
9.122902,109.115,11.647
9.190402,109.900,11.620
9.258009,110.685,11.630
9.325403,111.470,11.630
9.393003,112.255,11.647
9.460206,113.040,11.652
9.527750,113.825,11.604
9.595505,114.610,11.599
9.663106,115.395,11.595
9.730906,116.180,11.570
9.798806,116.965,11.586
9.866418,117.750,11.587
