"Time","GateState","angle","omega","Angle"
0.140095,0,0.000,,0.000
0.158188,1,,,
0.332683,0,0.524,2.751,0.524
0.350283,1,,,
0.521083,0,1.048,2.781,1.048
0.538683,1,,,
0.709498,0,1.572,2.793,1.572
0.726715,1,,,
0.896383,0,2.096,2.800,2.096
0.914883,1,,,
1.083723,0,2.620,2.789,2.620
1.104319,1,,,
1.272110,0,3.144,2.773,3.144
1.295483,1,,,
1.461692,0,3.668,2.755,3.668
1.483983,1,,,
1.652583,0,4.192,2.750,4.192
1.672215,1,,,
1.842784,0,4.716,2.764,4.716
1.861092,1,,,
2.031812,0,5.240,2.789,5.240
2.049687,1,,,
2.218514,0,5.764,2.810,5.764
2.235983,1,,,
2.404717,0,6.288,2.827,6.288
2.422000,1,,,
2.589283,0,6.812,2.853,6.812
2.606283,1,,,
2.772083,0,7.336,2.857,7.336
2.789216,1,,,
2.956083,0,7.860,2.848,7.860
2.972912,1,,,
3.140083,0,8.384,2.847,8.384
3.158283,1,,,
3.324223,0,8.908,2.833,8.908
3.344629,1,,,
3.509983,0,9.432,2.801,9.432
3.533383,1,,,
3.698387,0,9.956,2.772,9.956
3.720583,1,,,
3.888083,0,10.480,2.768,10.480
3.907583,1,,,
4.076983,0,11.004,2.781,11.004
4.095109,1,,,
4.264884,0,11.528,2.797,11.528
4.282705,1,,,
4.451630,0,12.052,2.810,12.052
4.469083,1,,,
4.637783,0,12.576,2.823,12.576
4.655083,1,,,
4.822890,0,13.100,2.842,13.100
4.839984,1,,,
5.006580,0,13.624,2.849,13.624
5.023705,1,,,
5.190783,0,14.148,2.848,14.148
5.207583,1,,,
5.374584,0,14.672,2.853,14.672
5.392783,1,,,
5.558084,0,15.196,2.846,15.196
5.578384,1,,,
5.742883,0,15.720,2.816,15.720
5.766081,1,,,
5.930283,0,16.244,2.789,16.244
5.952123,1,,,
6.118701,0,16.768,2.782,16.768
6.138184,1,,,
6.307018,0,17.292,2.779,17.292
6.325282,1,,,
6.495783,0,17.816,2.788,17.816
6.513583,1,,,
6.682883,0,18.340,2.793,18.340
6.700484,1,,,
6.871022,0,18.864,,18.864
6.888583,1,,,
